date,All,American,Delta,Southwest,United
2002,72.61,71,72.43,65.88,73.65
2003,73.59,73,74.31,66.78,76.55
2004,75.89,74.85,75.7,69.49,79.28
2005,77.82,78.62,77.63,70.69,81.68
2006,78.88,80.15,79.03,73.05,82.21
2007,79.53,81.5,81.13,72.58,82.9
2008,78.69,80.58,82.12,71.16,81.18
2009,79.72,80.68,82.43,75.97,82.1
2010,81.9,81.91,83.95,79.29,84.24
2011,81.6,81.97,83.1,80.77,84.1
2012,82.53,82.83,84.78,80.44,83.12
2013,82.77,83.12,84.89,80.11,83.99
2014,82.69,82.08,85.64,82.52,83.77
2015,82.68,83.39,85.61,83.62,83.57
2016,82.43,82.34,85.23,84.03,82.94
