date,Domestic,Intl,Total
2000,1991496,79238,2532700
2001,-7234855,-90989,-8266509
2002,-9329102,-78369,-11365484
2003,-1469581,3543,-1715469
2004,-9906154,151897,-9104424
2005,-19747536,190916,-27219896
2006,9043659,138042,18186112
2007,2995875,190398,7691404
2008,-18173970,-221582,-23749834
2009,-2252074,169340,-2526277
2010,1176134,304122,3665995
2011,1440558,-15962,1392188
2012,2212176,-193468,363732
2013,10521844,70956,12711213
2014,8702041,129598,8504503
2015,21214806,105212,26383280
2016,13132815,94527,15383077
