year,month,date,load,flight,passenger,ppf
2003,1,2003-1,66.2,842827,47938280,56.87795953
2003,2,2003-2,68.31,741610,45412146,61.23453837
2003,3,2003-3,72.12,856120,55001313,64.24486404
2003,4,2003-4,71.02,821265,51378704,62.56044517
2003,5,2003-5,74.07,844662,53763186,63.6505324
2003,6,2003-6,79.2,856576,57621020,67.26901057
2003,7,2003-7,81.51,894576,62001893,69.30869261
2003,8,2003-8,79.83,894497,60193305,67.29290875
2003,9,2003-9,69.22,835821,49038004,58.67046174
2003,10,2003-10,72.56,872580,54865753,62.87761924
2003,11,2003-11,71.85,819659,51905254,63.32542435
2003,12,2003-12,74.03,855970,55116115,64.39024148
2004,1,2004-1,67.67,845530,49070727,58.03546533
2004,2,2004-2,69.39,817440,50248226,61.47023145
2004,3,2004-3,76.37,895125,59952930,66.97715961
2004,4,2004-4,76.58,878354,58917221,67.0768517
2004,5,2004-5,75.2,895946,58798390,65.62715833
2004,6,2004-6,81.45,901172,63364913,70.31389457
2004,7,2004-7,82.62,940939,66797562,70.99032137
2004,8,2004-8,79.63,951311,64367670,67.66206845
2004,9,2004-9,72.4,875835,53068030,60.59135568
2004,10,2004-10,75.04,919950,59797453,65.00076417
2004,11,2004-11,73.69,878360,57165914,65.08255613
2004,12,2004-12,73.75,899701,58681691,65.2235476
2005,1,2005-1,71.35,872141,54136166,62.07272219
2005,2,2005-2,71.82,820306,52574472,64.09129276
2005,3,2005-3,80.15,935395,65803288,70.34812887
2005,4,2005-4,76.86,904552,61297600,67.76570059
2005,5,2005-5,78.04,941186,63899130,67.89213822
2005,6,2005-6,82.72,933236,66847187,71.629456
2005,7,2005-7,84.07,961902,70263792,73.04672617
2005,8,2005-8,80.83,964102,66529820,69.00703453
2005,9,2005-9,75.1,876747,56534166,64.48173304
2005,10,2005-10,76.12,892282,59611848,66.808305
2005,11,2005-11,76.49,856725,58410901,68.17928857
2005,12,2005-12,76.22,867307,59196298,68.25299231
2006,1,2006-1,73.45,851600,55288976,64.9236449
2006,2,2006-2,75.15,776504,53055051,68.3255347
2006,3,2006-3,81.29,894057,65507850,73.2703284
2006,4,2006-4,80.92,862927,62865184,72.85110328
2006,5,2006-5,80.31,892727,64142247,71.84978947
2006,6,2006-6,84.75,891734,66922182,75.04724727
2006,7,2006-7,85.13,928415,69178609,74.51259297
2006,8,2006-8,81.17,941286,66147081,70.27309553
2006,9,2006-9,74.91,862487,56139524,65.09028426
2006,10,2006-10,77.29,891323,61370000,68.85270547
2006,11,2006-11,77.86,854346,60025470,70.25897002
2006,12,2006-12,76.94,874036,60456025,69.16880426
2007,1,2007-1,73.31,873558,56876804,65.10936194
2007,2,2007-2,75.03,787368,53845014,68.38608376
2007,3,2007-3,81.64,902740,66891742,74.0985688
2007,4,2007-4,80.8,879700,64630113,73.46835626
2007,5,2007-5,80.75,914511,66528541,72.74766624
2007,6,2007-6,85.7,904960,69447429,76.74088247
2007,7,2007-7,86,941191,72153522,76.66193366
2007,8,2007-8,84.43,949167,71087148,74.89424727
2007,9,2007-9,76.76,869349,58973924,67.83688024
2007,10,2007-10,78.68,905715,63940976,70.59723644
2007,11,2007-11,77.82,868871,61660337,70.96604329
2007,12,2007-12,76.38,874306,60591032,69.30185999
