date,ppf,UA,AA,DL,JB
2002,73.61936813,105.0713528,94.86025364,110.1957933,128.5795117
2003,66.18909522,109.7062608,100.4903833,119.8877774,133.7379558
2004,68.25707333,114.8581101,109.6366241,118.8086701,129.5843569
2005,70.83372404,121.1155976,119.7581704,122.6292717,131.095119
2006,73.38414636,122.5401591,124.6433582,128.9585318,116.3084653
2007,74.76241392,123.9529753,127.9991258,132.9134015,108.7763686
2008,75.56420554,123.4542656,126.3628433,135.7880992,106.2542138
2009,76.53442963,128.4614803,125.9577949,134.6059319,103.8319306
2010,78.74518339,134.5811488,127.2390588,131.0627479,107.1359859
2011,80.46722465,135.8518771,128.4232185,133.5264362,107.9952791
2012,82.92703365,133.5512936,130.2756271,137.1190126,109.1982481
2013,84.97482625,135.4466561,127.5578539,136.3203555,107.6596857
2014,89.25823383,138.2535547,128.2990461,138.4287291,108.5206065
2015,94.04862532,140.727796,132.7010658,136.1310068,110.5680181
2016,95.85820395,141.6329778,131.2952432,134.2628735,113.156029
